1383909029890 , 0.05 , -0.02 , -1.02 
1383909030872 , 0.05 , -0.03 , -1.03 
1383909031851 , 0.05 , -0.03 , -1.02 
1383909032901 , 0.05 , -0.02 , -1.03 
1383909033880 , 0.03 , -0.03 , -1.03 
1383909034861 , 0.05 , -0.03 , -1.02 
1383909035910 , 0.05 , -0.02 , -1.00 
1383909036821 , 0.03 , -0.02 , -1.00 
1383909037801 , 0.06 , -0.02 , -1.03 
1383909038783 , 0.03 , -0.03 , -1.02 
1383909039831 , 0.05 , -0.02 , -1.02 
1383909040811 , 0.05 , -0.02 , -1.02 
1383909041790 , 0.05 , -0.02 , -1.02 
1383909042841 , 0.05 , -0.03 , -1.02 
1383909043822 , 0.05 , -0.02 , -1.02 
1383909044801 , 0.05 , -0.03 , -1.00 
1383909045850 , 0.05 , -0.02 , -1.02 
1383909046971 , 0.05 , -0.02 , -1.02 
1383909047811 , 0.06 , -0.02 , -1.03 
1383909048791 , 0.03 , -0.02 , -1.02 
1383909049840 , 0.03 , -0.02 , -1.02 
1383909050824 , 0.05 , -0.02 , -1.03 
1383909051805 , 0.05 , -0.02 , -1.00 
1383909052851 , 0.05 , -0.02 , -1.02 
1383909053831 , 0.05 , -0.02 , -1.02 
1383909054810 , 0.05 , -0.02 , -1.00 
1383909055791 , 0.05 , -0.02 , -1.02 
1383909056840 , 0.05 , -0.02 , -1.02 
1383909057890 , 0.03 , -0.02 , -1.02 
1383909058870 , 0.05 , -0.02 , -1.00 
1383909059850 , 0.05 , -0.02 , -1.00 
1383909060831 , 0.06 , -0.02 , -1.02 
1383909061811 , 0.06 , -0.02 , -1.02 
1383909062860 , 0.05 , -0.02 , -1.02 
1383909063840 , 0.05 , -0.03 , -1.02 
1383909064821 , 0.05 , -0.02 , -1.02 
1383909065801 , 0.05 , -0.03 , -1.00 
1383909066782 , 0.05 , -0.03 , -0.98 
1383909067901 , 0.05 , -0.02 , -1.00 
1383909068810 , 0.05 , -0.02 , -1.02 
1383909069789 , 0.05 , -0.02 , -1.00 
1383909070840 , 0.06 , -0.02 , -1.03 
1383909071891 , 0.05 , -0.02 , -1.00 
1383909072870 , 0.05 , -0.02 , -1.02 
1383909073850 , 0.05 , -0.02 , -1.00 
1383909074827 , 0.03 , -0.03 , -1.02 
1383909075810 , 0.05 , -0.02 , -1.02 
1383909076860 , 0.03 , -0.02 , -1.03 
1383909077840 , 0.03 , -0.02 , -1.02 
1383909078820 , 0.03 , -0.03 , -1.00 
1383909079797 , 0.06 , -0.02 , -1.03 
1383909080780 , 0.03 , -0.02 , -1.00 
1383909081830 , 0.06 , -0.03 , -1.02 
1383909082881 , 0.05 , -0.02 , -1.02 
1383909083860 , 0.05 , -0.03 , -1.02 
1383909084839 , 0.06 , -0.02 , -1.02 
1383909085821 , 0.05 , -0.02 , -1.00 
1383909086800 , 0.05 , -0.02 , -1.02 
1383909087920 , 0.03 , -0.02 , -1.00 
1383909088831 , 0.05 , -0.02 , -1.02 
1383909089810 , 0.05 , -0.03 , -1.02 
1383909090788 , 0.05 , -0.02 , -1.02 
1383909091836 , 0.05 , -0.02 , -1.03 
1383909092890 , 0.05 , -0.02 , -1.02 
1383909093800 , 0.05 , 0.00 , -1.02 
1383909094859 , 0.05 , -0.02 , -1.02 
1383909095827 , 0.05 , -0.02 , -1.02 
1383909096808 , 0.05 , -0.02 , -1.02 
