1383909029682 , 28.38 , 21.15 
1383909030661 , 28.38 , 21.39 
1383909031648 , 28.38 , 21.46 
1383909032623 , 28.38 , 21.49 
1383909033675 , 28.38 , 21.49 
1383909034660 , 28.38 , 21.77 
1383909035632 , 28.38 , 21.75 
1383909036681 , 28.38 , 21.34 
1383909037672 , 28.38 , 21.68 
1383909038653 , 28.38 , 21.91 
1383909039632 , 28.38 , 21.94 
1383909040671 , 28.38 , 21.58 
1383909041651 , 28.38 , 21.60 
1383909042638 , 28.38 , 21.98 
1383909043688 , 28.38 , 21.44 
1383909044670 , 28.38 , 21.56 
1383909045649 , 28.38 , 21.86 
1383909046628 , 28.38 , 21.79 
1383909047671 , 28.38 , 21.49 
1383909048651 , 28.38 , 21.60 
1383909049629 , 28.38 , 21.65 
1383909050692 , 28.38 , 21.44 
1383909051669 , 28.38 , 21.60 
1383909052642 , 28.38 , 21.94 
1383909053692 , 28.38 , 21.56 
1383909054747 , 28.38 , 21.49 
1383909055657 , 28.38 , 22.01 
1383909056633 , 28.38 , 21.37 
1383909057688 , 28.34 , 21.52 
1383909058672 , 28.34 , 21.73 
1383909059649 , 28.34 , 22.02 
1383909060696 , 28.34 , 21.59 
1383909061679 , 28.34 , 21.45 
1383909062658 , 28.34 , 21.90 
1383909063701 , 28.34 , 21.90 
1383909064679 , 28.34 , 21.66 
1383909065661 , 28.34 , 21.85 
1383909066651 , 28.34 , 21.80 
1383909067691 , 28.34 , 21.95 
1383909068678 , 28.34 , 22.09 
1383909069653 , 28.34 , 22.21 
1383909070708 , 28.34 , 21.73 
1383909071681 , 28.34 , 22.04 
1383909072731 , 28.34 , 21.78 
1383909073648 , 28.31 , 21.82 
1383909074691 , 28.31 , 21.93 
1383909075671 , 28.31 , 21.77 
1383909076651 , 28.31 , 21.79 
1383909077701 , 28.31 , 22.08 
1383909078681 , 28.31 , 21.86 
1383909079660 , 28.31 , 22.00 
1383909080711 , 28.31 , 21.74 
1383909081700 , 28.31 , 21.74 
1383909082671 , 28.31 , 22.69 
1383909083651 , 28.31 , 21.79 
1383909084708 , 28.31 , 21.82 
1383909085690 , 28.28 , 21.83 
1383909086668 , 28.28 , 22.02 
1383909087711 , 28.28 , 22.39 
1383909088697 , 28.28 , 21.92 
1383909089685 , 28.28 , 21.99 
1383909090719 , 28.28 , 22.04 
1383909091699 , 28.28 , 21.85 
1383909092677 , 28.28 , 21.90 
1383909093670 , 28.28 , 22.13 
1383909094710 , 28.28 , 21.87 
1383909095689 , 28.25 , 21.93 
1383909096683 , 28.25 , 20.55 
1383909097726 , 28.28 , 21.12 
